Gene	ERX1492309	ERX1492310	ERX1492311	ERX1492312	ERX1492313	ERX1492305	ERX1492306	ERX1492307	ERX1492308	ERX1492315	SRX4673373	SRX4673372	SRX4673371	SRX4673370	SRX4673369	SRX4673368	SRX4673367	SRX4673366	SRX4673365	SRX2527436	SRX2527437	SRX2527438	SRX2527442	SRX2527443	SRX2527444	ERX1892495	ERX1892496	ERX1892497	ERX1892498	ERX1892499	ERX1892500	SRX2527536	SRX2527537	SRX2527538	SRX2527543	SRX2527544	SRX2527545	SRX2527546	SRX2527533	SRX2527534	SRX2527535	SRX2527539	SRX2527540	SRX2527541	SRX2527542	SRX4594575	SRX4594576	SRX4594577	SRX4594578	SRX4594579	SRX4594580	SRX4594581	SRX170978	SRX170979	SRX224753	SRX224754	SRX224755	SRX4594582	SRX4594583	SRX4594569	SRX4594570	SRX4594571	SRX4594572	SRX4594573	SRX4594574	SRX4594584	SRX4594585	SRX4594586	ERX2249183	ERX2249184	ERX2249185	ERX2249186	ERX2249187	ERX2249188	SRX589477	SRX589478	SRX589479	SRX996334	SRX996335	SRX170956	SRX170957	SRX170958	SRX170962	SRX170963	SRX170964	SRX170968	SRX170969	SRX170970	SRX170974	SRX170975	SRX170976	ERX945123	ERX945124	ERX945127	SRX2527433	SRX2527434	SRX2527435	SRX2527439	SRX2527440	SRX2527441	ERX1892492	ERX1892493	ERX1892494	ERX1892489	ERX1892490	ERX1892491	SRX224756	SRX224757	SRX224758	SRX589480	SRX589481	SRX589482	SRX589474	SRX589475	SRX589476	SRX996336	SRX996337	SRX996338	SRX996339	SRX170959	SRX170960	SRX170961	SRX170965	SRX170966	SRX170967	SRX170971	SRX170972	SRX170973	SRX170977
MTR_0058s0010	-1.291057	-0.292472	-1.190269	-2.299855	-1.452120	0.267558	0.481099	-0.257007	0.184020	-0.020747	1.411042	0.405892	0.392814	0.540871	0.522841	1.326823	1.096374	0.174200	0.491525	-0.485180	-0.024936	-0.141394	0.075392	0.084591	-0.074401	-0.082473	0.377771	0.261313	0.478099	0.487298	-0.074401	-0.711078	-0.662132	1.014105	0.100407	-0.263118	-0.483193	0.110463	-0.619995	-0.332073	-0.654100	-0.169892	-0.386401	-1.081019	-0.265086	1.523459	1.506448	0.633886	0.314091	0.343657	0.683829	0.695518	-5.185770	-0.040433	0.761510	1.016800	0.776908	-0.544470	-0.597490	0.507478	0.310988	0.411526	-0.088033	-0.019011	0.275384	-0.256372	2.126075	1.976926	1.281952	1.638793	1.867536	2.044504	2.146798	1.868966	2.582768	1.789327	1.649545	3.039998	2.478136	-3.471920	-3.466179	-3.476347	-3.476845	-3.476964	0.287891	1.050914	-3.477271	-0.030404	-3.477387	-3.476816	-0.348510	-1.592329	-1.350572	-1.340264	0.467111	0.300166	0.555551	0.436865	1.277221	0.827482	0.467111	0.300166	-0.369956	-0.488642	0.351713	-0.098026	0.732541	0.263503	0.232810	0.210916	-0.834855	-0.307954	-0.536564	-0.619925	0.075053	0.694694	0.694694	3.817770	3.933374	-2.335011	-2.335298	-2.335725	2.043377	-2.336654	-2.336199	-2.337117	2.790764	3.767949	-2.337226
MTR_0103s0100	-0.219770	-0.315431	-0.310501	-0.168714	-0.215888	-0.117046	-0.059502	0.066731	0.148357	0.277655	-0.044189	0.075530	0.425640	0.302639	0.303590	-0.130633	-0.110900	0.092437	0.117490	0.141307	0.055175	-0.063248	-0.124492	-0.126230	0.090949	0.165536	0.079404	-0.039019	-0.100263	-0.102001	0.090949	-0.068867	-0.116684	0.021030	-0.114655	0.147159	-0.061861	-0.004295	-0.122422	0.023403	-0.236462	-0.079049	-0.149413	-0.122318	0.097665	0.210077	0.391144	0.006204	0.044619	-0.221019	-0.183148	-0.108698	0.526733	0.555589	-0.152253	-0.326784	-0.141239	-0.092526	-0.260933	0.164716	-0.070205	0.136376	0.122572	-0.031080	-0.102678	0.133759	-0.073624	-0.138825	-0.206061	-0.234450	-0.273675	-0.411050	-0.381722	-0.197413	-0.129636	-0.131987	-0.391088	-0.179885	-0.339854	2.939091	-0.960501	0.496368	0.337645	0.684277	0.645698	-0.971709	0.596845	-0.053575	0.346263	-0.971139	0.347091	0.179566	0.055348	0.202340	-0.089231	-0.192291	-0.076874	0.147224	-0.224589	-0.067067	-0.089231	-0.192291	0.025836	0.249934	-0.121880	0.035643	-0.095551	-0.080531	-0.010902	0.054041	-0.056594	0.168726	-0.108880	-0.078117	-0.016580	-0.035988	0.070836	-0.287435	-0.366822	0.748583	0.847184	0.728325	-1.046445	-1.047835	0.606129	0.554644	0.354599	-1.047976	-0.042956
MTR_1g030640	-0.376252	-0.215011	-0.409859	-0.170581	-0.245648	0.714533	0.754342	1.125605	0.940168	1.090866	-0.422701	-0.275841	-0.349585	-0.304214	-0.453140	-0.611370	-0.473160	-0.318150	0.040609	0.010150	0.043473	0.181495	-0.231051	-0.044675	0.037390	0.039630	0.072953	0.210975	-0.201571	-0.015195	0.037390	-0.104380	-0.077192	-0.179089	-0.157003	-0.223469	-0.386009	-0.380319	-0.297237	-0.214113	-0.290543	-0.054707	-0.189878	-0.141736	-0.108339	1.191348	1.431094	0.724763	0.677909	0.714223	0.684682	0.593464	-0.517168	-0.165834	-0.985770	-0.819363	-0.906903	0.255547	0.307684	-0.205637	-0.230686	-0.079950	-0.046959	-0.018290	-0.204330	0.222619	1.472671	1.417400	-0.404480	-0.263157	-0.354977	-0.293204	-0.251220	-0.196377	-0.138563	0.106164	0.225876	-0.671457	-0.515033	-1.187540	-1.181798	0.267890	0.110174	0.093735	0.211490	-0.177675	0.708106	-0.282655	0.323455	0.981181	-1.183534	0.668757	0.371412	0.712885	-0.116113	-0.047907	-0.148622	0.144889	-0.175198	-0.062554	-0.116113	-0.047907	-0.103065	0.190446	-0.129641	-0.016997	-0.158686	0.096558	-0.140633	0.101843	0.160177	0.555958	0.273514	0.071859	0.109359	-0.528228	-0.482462	-0.014352	-0.159923	-0.617031	1.092026	-0.617745	-0.617284	0.981904	0.839337	0.969943	-0.618809	-0.618815	-0.619246
MTR_1g038815	0.015244	0.088563	-0.073976	0.042035	-0.174494	-0.167686	-0.197707	-0.401502	-0.434247	-0.024616	-0.012052	0.191229	0.281627	0.224923	0.243081	0.133290	0.110830	0.155450	-0.091550	0.204166	0.142114	0.233466	-0.190431	-0.297765	-0.086739	0.220722	0.158670	0.250022	-0.173875	-0.281209	-0.086739	-0.016069	0.015216	0.037121	0.135339	0.079203	0.051896	-0.093593	-0.131854	0.023022	-0.061748	0.052413	-0.012281	0.120243	0.138072	-0.185793	-0.152039	-0.860835	-0.501152	-0.599072	-0.554291	-0.663756	2.046667	1.854302	-0.294816	-0.199797	-0.227248	-0.055401	-0.041621	-0.002428	-0.178835	-0.121587	0.399875	0.077134	0.052287	-0.129420	-0.886757	-0.892134	-1.303866	-1.329859	-1.288336	-1.319643	-1.302450	-1.262673	-1.011116	-0.979199	-1.066353	-1.273707	-1.375311	0.391522	0.913944	1.737491	1.736051	1.787201	1.606475	1.311840	1.470454	1.580804	1.432136	1.323484	1.801316	0.402246	0.425933	0.489004	-0.161418	-0.232469	-0.261324	-0.446969	-0.913904	-0.708528	-0.161418	-0.232469	0.153416	-0.032229	-0.499164	-0.293788	0.283855	0.252051	0.370621	-0.066387	-0.168375	0.292387	-0.149636	-0.054024	0.239197	-0.131492	-0.196430	-2.421926	-2.590756	0.223298	0.627392	0.670158	0.728925	0.684353	0.601668	0.500823	0.304830	0.349644	0.321592
MTR_1g039030	-0.026184	-0.035313	-0.019097	-0.016860	-0.012893	-0.058654	-0.021414	-0.058654	-0.058654	0.218522	0.021253	-0.027251	0.002950	0.077266	0.005418	-0.019856	0.000439	0.028979	-0.024591	0.045886	0.006961	0.049641	-0.050631	-0.027266	-0.028211	0.041479	0.002554	0.045234	-0.055038	-0.031673	-0.028211	0.038743	0.015122	-0.029011	0.002888	0.029726	-0.033147	-0.002757	-0.003579	-0.017938	0.000913	0.003824	-0.010977	-0.033888	-0.045232	0.022474	0.116699	0.036577	0.043902	-0.012353	0.031450	-0.053800	-0.122628	-0.122372	0.089614	0.047869	0.061741	-0.029677	-0.017146	0.093029	0.025901	0.037383	-0.109492	-0.135406	0.032469	0.102936	-0.210382	-0.158312	-0.372774	-0.371131	-0.428195	-0.346279	-0.428195	-0.345481	-0.263467	-0.341911	-0.364666	-0.218553	-0.361422	-0.422729	-0.416987	-0.427155	0.907159	0.895008	1.009198	1.037345	0.901346	0.526252	0.628960	-0.427625	-0.156856	0.243391	0.170248	0.317908	-0.044200	-0.057553	-0.048038	-0.064158	-0.131597	-0.127390	-0.044200	-0.057553	0.005399	-0.010721	-0.078160	-0.073953	0.062182	0.110091	0.019676	0.000636	-0.035149	0.067906	-0.060885	-0.003314	0.033053	-0.036175	-0.000585	-0.744075	-0.802331	0.758827	0.846543	0.917759	-0.892345	0.665006	0.502967	0.165080	-0.893870	-0.893876	0.370313
MTR_1g050760	0.176345	-0.353098	-0.299996	-0.200918	-0.195308	0.088689	-0.196176	0.021389	0.489298	0.546543	0.021700	-0.016128	0.018639	0.013626	0.097827	-0.080578	-0.030761	-0.101093	0.098673	0.074111	0.029480	0.090406	-0.124235	-0.168434	-0.166318	0.176259	0.131628	0.192554	-0.022087	-0.066286	-0.166318	-0.057342	-0.022087	0.062443	0.114066	-0.021035	0.230432	0.079382	-0.159009	-0.110379	-0.151822	0.001586	0.011100	0.047736	-0.060683	-0.072889	0.029069	-0.324824	-0.244453	-0.272311	-0.233801	-0.302693	1.060017	0.894046	-0.214242	-0.127615	-0.234123	0.009422	-0.044555	-0.120530	-0.055268	0.024380	0.186549	-0.086050	0.071801	0.014250	-0.453989	-0.451754	-0.676111	-0.701445	-0.639248	-0.388660	-0.646383	-0.683572	-0.383092	-0.731112	-0.702634	-0.219121	-0.223869	0.075238	0.442454	0.703143	0.951712	0.654737	0.740281	0.572869	0.382988	0.812020	0.804191	0.761368	0.809666	0.156508	0.185517	0.189219	-0.202619	-0.162129	-0.310345	-0.160181	-0.074258	-0.066635	-0.202619	-0.162129	-0.259126	-0.108962	-0.023039	-0.015416	0.232121	0.164962	0.150650	0.012477	-0.153664	-0.296924	-0.274066	-0.138081	0.140224	0.282144	0.286705	-0.759211	-0.555376	0.246505	-0.100130	-0.018801	0.098283	-0.149716	0.532736	0.192043	0.555214	-0.087517	0.045970
MTR_1g075660	-1.338341	-0.921563	-0.962962	-1.602738	-1.067291	2.477256	2.642177	1.953290	2.601377	1.484303	-0.442997	-0.303727	-0.900216	-0.958905	-1.030125	-0.726363	-0.759995	-0.143184	1.234720	-0.256894	-0.427895	-0.375901	-0.135192	-0.038836	0.234444	-0.027067	-0.198068	-0.146074	0.094635	0.190991	0.234444	-0.190239	-0.193063	-0.544446	-0.543340	-0.549144	-0.695042	-0.598505	-0.592969	-0.537175	-0.384916	-0.594800	-0.572463	-0.591030	-0.599883	3.368816	3.434896	1.118551	2.194034	2.194034	2.185136	2.295011	-2.002830	-4.254254	-1.662200	-1.359407	-0.708071	0.148764	0.077297	-0.228804	-0.234276	-0.190571	0.427590	0.011365	0.090662	-0.102026	3.712526	3.678052	1.075376	1.109400	1.093207	0.708690	0.944403	0.876385	1.231709	1.416719	1.537014	-1.752936	-1.696292	-2.748094	-2.742352	-0.737054	-1.071327	-0.662346	-1.217183	-1.534864	-0.745743	-1.345334	-0.033087	-1.096874	-0.413487	-0.576583	0.386803	-0.760485	-0.065807	-0.042196	-0.011944	0.290817	0.878417	0.422465	-0.065807	-0.042196	-1.029054	-0.726293	-0.138693	-0.594645	0.170143	0.296271	-0.006286	0.900652	1.127904	1.013930	0.614457	1.032443	1.088838	-1.743690	-2.005978	0.768091	0.566721	-1.242759	-1.243046	0.466573	1.253676	0.381917	0.563785	-1.244865	-1.244537	0.420549	0.553893
MTR_1g076400	-0.070653	0.206738	0.169431	0.127197	-0.083093	0.034668	-0.247614	-0.270213	-0.062619	-0.472855	0.234186	-0.096860	0.195031	0.269886	0.141009	-0.000466	-0.210750	0.136971	-0.000599	0.053147	-0.089748	0.126427	-0.009720	-0.079509	-0.307426	-0.297513	-0.440408	-0.224233	-0.360380	-0.430169	-0.307426	1.088066	1.279485	0.253466	0.232343	0.061170	0.300688	0.073968	-0.057152	0.062236	0.073272	0.204725	0.262595	0.400764	0.246117	-1.106999	-1.007192	-0.058755	-0.045808	-0.163576	-0.190343	-0.004790	0.285125	0.210683	0.062179	-0.128036	0.033316	-0.263054	-0.322988	0.078228	0.032766	-0.069892	0.544938	-0.008190	0.031315	-0.023125	0.927308	0.965510	0.586853	0.370798	0.627847	0.292584	0.262652	0.156043	0.641679	0.040878	-0.056637	0.823228	0.741725	-0.873866	-0.868124	0.749240	-0.878790	-0.878909	-0.878484	-0.040851	-0.879216	-0.073382	-0.879332	-0.878762	-0.909384	0.771070	0.569814	1.058722	-0.081968	-0.063203	0.117217	-0.473616	-0.400061	-0.443420	-0.081968	-0.063203	0.137154	-0.453679	-0.380124	-0.423483	0.526933	-0.037443	0.249933	0.272380	0.108327	-0.134740	-0.244211	-0.275921	-0.003443	0.357638	0.300675	0.884056	0.682311	-0.779871	-0.780158	0.677283	-0.780124	-0.781514	0.538798	0.391525	-0.781649	0.378142	0.351204
MTR_1g083120	0.090018	0.372998	0.349857	0.234283	-0.163063	-0.176152	0.055020	0.030346	-0.220960	-0.913941	0.094399	0.189516	-0.166445	-0.110176	-0.043379	0.103226	0.209580	0.064873	-0.236236	0.079456	0.096941	0.095321	0.073775	-0.109257	-0.184324	0.085023	0.102508	0.100888	0.079342	-0.103690	-0.184324	-0.004186	0.108765	0.015816	0.119012	0.076971	0.023385	-0.054895	-0.211637	0.019820	-0.113959	0.042651	-0.073289	0.134200	0.057986	-0.008865	-0.027200	0.037046	-0.180624	-0.190035	-0.185446	-0.166170	-0.199703	0.178390	0.234086	0.244108	0.228352	-0.094988	-0.073011	0.218616	-0.007817	0.108608	-0.151409	0.018405	0.018053	-0.036457	-0.417501	-0.351388	-0.402668	-0.458949	-0.421626	-0.410041	-0.340264	-0.373269	0.018994	-0.199786	-0.350695	-0.188354	-0.248036	0.576023	0.634555	0.453075	0.396223	0.505108	0.299298	0.111150	0.088390	0.416808	0.290265	0.372685	0.021749	0.137132	0.235982	0.128997	-0.047061	0.046416	0.051827	-0.183409	-0.224186	-0.166807	-0.047061	0.046416	0.119429	-0.115807	-0.156584	-0.099205	0.211645	0.041032	0.086119	0.195828	-0.282457	-0.000085	-0.175041	-0.082788	0.199512	0.069289	-0.010889	-0.397241	-0.560152	0.244596	0.302693	0.072064	0.171761	0.105669	0.139014	-0.054096	0.015219	-0.001295	-0.038237
MTR_1g087750	0.276130	0.285892	0.262816	0.127072	0.097995	0.142229	-0.112704	-0.393033	-0.806372	-0.033280	0.299151	0.045817	-0.268525	-0.180475	-0.177473	0.185573	0.235405	0.013777	0.008281	-0.050371	-0.010810	-0.075749	0.120369	0.008281	-0.221822	-0.088529	-0.048968	-0.113907	0.082211	-0.029877	-0.221822	0.248155	0.394557	0.211478	0.174301	0.184069	0.195523	-0.027960	-0.078827	0.043902	-0.062220	0.023615	0.071994	0.111315	0.055374	-0.472698	-0.429864	0.069916	0.068064	0.117671	-0.067901	0.218374	-0.246523	-2.070846	0.624942	0.614066	0.672239	-0.220990	-0.442814	0.248734	0.356674	0.217379	-0.158984	0.067577	0.094706	-0.162282	-0.320127	-0.233251	0.135517	0.364530	0.190952	0.371898	0.481262	0.394967	0.460399	0.402915	0.505829	1.225123	1.218955	-2.255381	-2.249639	0.403929	-0.146815	0.107412	0.006712	-0.400848	-0.068870	-0.452903	-0.403840	0.261263	-0.313044	0.271129	0.348612	0.379087	-0.166687	0.017073	-0.087118	-0.365425	0.168366	-0.102384	-0.166687	0.017073	-0.106259	-0.384566	0.149225	-0.121525	0.217783	0.006156	0.119479	0.179930	-0.060225	-0.358301	-0.129164	-0.368160	-0.162553	0.472683	0.545494	1.147034	1.137776	-0.276594	0.163548	-0.622214	-0.299057	0.262157	-0.355647	-0.078001	-0.276110	0.139217	-0.942104
