Gene	SRX895699	SRX895700	SRX895701	SRX895702	SRX895703	SRX895707	SRX126904	SRX365397	SRX122682	ERX472120	ERX472113	ERX472118	SRX895708	SRX895709	SRX895704	SRX895705	SRX895706	SRX104403	SRX104405	SRX104404	SRX1176826	SRX1176825	SRX1176827	SRX1176828	ERX472110	ERX472115	ERX472117	SRX126903	SRX895710	SRX895711	SRX895712	SRX895698
PP1S104_10V6	0.542033	-1.315683	0.119081	0.388213	0.375460	-0.109103	1.604035	-1.111866	-0.492169	0.000000	0.053470	-0.053470	0.000000	-0.134914	0.081667	0.096904	-0.023920	-1.401104	-1.405933	-1.397960	0.700507	0.276305	0.857698	0.558921	0.406363	0.363291	0.436745	0.585426	-0.047007	-0.021169	-0.129932	0.198106
PP1S108_25V6	-0.265671	-1.328637	0.334567	0.198443	0.254197	0.807101	0.634330	0.964290	-1.598620	0.000000	0.041672	-0.041672	0.000000	0.553555	0.478673	0.562309	0.582829	-1.512160	-1.516989	-1.509016	-0.023214	0.584658	0.153529	0.016015	0.310430	0.302141	0.109664	0.907572	0.031102	0.120137	0.237183	-0.388420
PP1S108_9V6	-0.192729	-0.561118	0.162308	0.126769	0.162433	0.302340	0.351341	-0.485519	0.134178	0.000000	0.017663	-0.017663	0.000000	0.185880	0.058792	0.074975	0.128411	-0.629123	-0.633952	-0.625979	0.133446	0.081867	-0.076179	0.257076	0.575749	0.422749	0.505539	-0.459248	0.028389	0.065835	0.018728	-0.112951
PP1S120_12V6	-0.094459	-0.046235	-0.094742	0.095783	0.216482	-0.076828	-0.805270	1.322797	-0.517528	0.000000	0.023989	-0.023989	0.000000	-0.151456	0.462171	0.360066	0.356904	-0.100793	-0.105622	-0.097649	0.235053	-0.235081	0.306805	-0.109751	-0.097537	-0.158727	-0.128359	-0.536023	-0.007795	-0.076276	-0.088436	0.172508
PP1S12_128V6	-1.909910	-3.139680	1.467448	1.963458	2.025494	-0.406811	-0.022078	-0.298810	0.320887	0.000000	0.163940	-0.163940	0.000000	0.514654	1.275423	1.201199	1.237448	-2.496543	-2.501372	-2.493399	1.150122	0.895874	2.156800	1.191323	-0.858032	0.290953	0.400118	-1.964561	0.561162	0.371084	0.335678	-1.267925
PP1S131_23V6	-0.049165	-0.724468	-0.065655	0.105657	0.066595	0.667035	-0.455036	1.640111	-1.185074	0.000000	0.001567	-0.001567	0.000000	0.615484	0.102661	0.049501	0.096660	-0.643445	-0.648274	-0.640301	-0.523248	0.081948	-0.170670	0.522020	0.525159	0.325439	0.476668	-0.169605	0.019751	0.011457	-0.079465	0.048258
PP1S134_154V6	0.139540	-0.756694	0.162197	0.191464	0.263942	-0.000448	-0.186169	0.998675	-0.812505	0.000000	-0.082153	0.082153	0.000000	0.017734	0.804230	0.714929	0.732091	-0.675832	-0.680661	-0.672688	-0.108307	0.112977	0.092662	-0.228931	0.074719	-0.043772	-0.011248	-0.127907	-0.062272	-0.021831	0.008942	0.075161
PP1S134_37V6	-0.024260	0.597895	-0.124260	-0.133696	-0.193539	-0.122139	-0.411406	-0.104145	0.515552	0.000000	0.036045	-0.036044	0.000000	-0.630275	-0.446505	-0.281865	-0.323735	0.077515	0.072686	0.080659	0.491406	0.077942	0.331054	0.297856	0.612565	0.254330	0.207877	-0.821517	-0.091605	-0.033829	0.021236	0.104197
PP1S13_396V6	0.622715	-0.907011	0.037732	-0.034075	-0.192359	0.472996	0.531820	-0.575758	0.043939	0.000000	0.033786	-0.033786	0.000000	0.366298	-0.584125	-0.954482	-0.493527	-0.968233	-0.973062	-0.965089	0.464158	0.564696	0.195594	0.413382	1.018121	1.180989	1.120429	-0.385154	-0.213833	0.036863	0.142826	0.034145
PP1S13_418V6	-0.166530	-0.238480	-0.047346	0.099806	0.054888	0.297660	0.713492	-0.666594	-0.046897	0.000000	-0.070225	0.070225	0.000000	-0.435083	-0.074418	-0.241222	-0.259157	-0.806460	-0.811289	-0.803316	0.221689	0.343400	0.065914	0.441411	0.742199	0.702775	0.829343	0.084207	0.169480	-0.075327	-0.063398	-0.030756
