Gene	SRX339763	SRX339764	SRX339815	SRX339780	SRX339781	SRX339782	SRX2925336	SRX2925337	SRX2925320	SRX2925321	SRX2641029	SRX3054171	SRX3054175	SRX3054195	SRX339789	SRX339790	SRX339791	SRX3804718	SRX3804723	SRX2520724	SRX2520725	SRX2520726	SRX2792105	SRX3804727	SRX2792102	SRX2792103	SRX2792104	SRX3804721	SRX3804725	SRX339775	SRX339776	SRX339779	SRX339756	SRX339757	SRX339758	SRX339762	SRX339773	SRX2527292	SRX2527293	SRX2527288	SRX339816	SRX339817	SRX339818	SRX339819	SRX2664285	SRX3141064	SRX3141035	SRX3141068	SRX3141040	SRX3141075	SRX3141038	SRX3141039	SRX793136	SRX339783	SRX339784	SRX3883790	SRX3883791	SRX339807	SRX3558056	SRX3558057	ERX2154018	SRX2423172	SRX2423173	SRX339796	SRX339799	SRX2545792	SRX2545793	SRX2545794	SRX339792	SRX339795	SRX339798	SRX3804722	SRX3804724	SRX3558094	SRX339804	SRX339805	SRX339806	ERX2154030	ERX2154026	ERX2154021	ERX2154022	ERX2154023	SRX3558102	SRX2792109	SRX2792110	SRX1973318	SRX339777	SRX339778	SRX3054177	SRX3054181	SRX3558055	SRX3804716	SRX339759	SRX339801	SRX339802	SRX339803	ERX2154032	SRX3206840	SRX339823	ERX2154027	ERX2154028	SRX339809	SRX3054173	SRX339808	SRX339794	SRX339797	SRX339793	SRX339766	SRX339767	SRX3100534	ERX2154029	ERX2154015	ERX2154016	ERX2154017	SRX339810	SRX339811	SRX339768	SRX339769	SRX339770	SRX339765	SRX339774	SRX1973316	SRX1973317	SRX2527286	SRX2527287	SRX339820	SRX339821	SRX339785	SRX3883788	SRX339760	SRX339761	SRX2792107	SRX2792108	SRX3804720	SRX2527294	SRX3883792	SRX3883796	SRX3206841	SRX3206842	ERX2154025	SRX339786	SRX339787	SRX339788	SRX3100535	SRX339822	SRX2909951	SRX2909952	SRX2909953	SRX2909945	SRX2909946	SRX2909947	SRX2925340	SRX2925341	SRX2925324	SRX2925325	SRX2425991	SRX2425992	SRX2792111	SRX3045731	SRX2664283	SRX2664284	SRX793139	SRX793140	SRX793135	ERX2154019	ERX2154020	SRX3804715	SRX339771	SRX339772
Zm00001d002539	0.874589	0.782953	-0.142140	-0.678306	-0.423153	-0.413941	-0.434648	-0.568070	0.130686	0.385416	0.032954	0.366697	0.053138	0.033829	0.070161	0.063044	-0.098634	0.930748	0.950540	0.637975	0.586776	0.646927	-0.543381	0.565592	-0.940888	-0.913676	-0.803882	0.679782	0.606638	-0.178728	-0.302548	-0.063162	0.316573	0.656000	0.357109	1.031376	-0.145421	-0.293352	-0.304494	-0.284264	-0.287179	-0.057463	0.105600	0.545125	-0.787732	-0.098225	-0.446508	-0.440278	-0.143618	-0.584497	-0.708149	-0.616111	-0.940273	-0.454511	-0.303626	0.169187	-0.088933	-0.369740	-0.736427	-0.925528	-0.735890	-0.457078	-0.978382	-0.050070	0.087113	0.746952	0.044140	0.065365	1.031203	1.038332	1.084825	0.825947	0.808762	-0.067462	0.294192	0.314408	0.367259	-0.477524	0.000000	0.081692	0.249586	0.147691	0.131520	-0.371714	-0.238773	0.213138	-0.062035	-0.093103	-0.770554	-0.143912	-0.873334	0.480308	-0.036317	0.618690	0.519024	0.440871	-0.133303	0.818995	-0.190792	-0.335066	-0.452604	0.134853	-0.134852	0.101020	-0.592722	-0.649569	-0.023171	0.404076	0.626908	0.373467	-0.240009	-0.027287	-0.153438	-0.048120	-0.371587	0.264073	-0.050353	0.015605	0.056866	0.314244	0.000000	0.155663	-0.061583	-0.356991	-0.148863	0.233936	0.212606	-0.276626	0.251679	0.060133	-0.069952	-0.582453	-0.197568	0.780021	-0.619994	0.112055	-0.034653	0.637835	0.552990	-0.648232	0.016998	-0.069853	-0.007783	0.352971	-0.292334	-0.038934	0.067434	-0.028501	0.577745	0.439173	0.551189	-0.314238	-0.517402	-0.356003	-0.380466	0.145699	0.217549	-0.088280	-0.274969	-0.047801	0.047800	0.343523	0.122112	-0.465636	-0.389300	-0.248400	0.637701	-0.199139	0.199139
Zm00001d002694	-0.235844	-0.049951	-0.776810	0.537366	0.215234	0.310008	0.022656	0.120825	0.081841	0.084564	-0.308102	-0.079418	0.138447	-0.060810	0.264690	0.175030	0.074094	-0.305974	-0.412884	0.272679	0.212233	0.287816	-0.732623	-0.574315	-0.261764	-0.470833	-0.279050	0.249532	0.204410	-0.351583	-0.415415	-0.072039	-0.592630	-0.398550	-0.418011	-0.210086	-0.572740	-0.405091	-0.350991	-0.865438	-0.610614	-0.710543	-0.667619	-0.490550	0.021152	-0.532640	-0.305974	-0.267325	-0.338891	-0.260115	0.730900	0.323507	0.401106	0.592602	0.575148	-0.299474	-0.276368	0.960481	0.715856	0.816828	0.373137	0.077264	0.164024	-0.099914	-0.087943	1.377221	1.457155	1.350556	0.196200	0.307432	0.236799	-0.061214	-0.186150	0.588951	-0.100948	-0.223520	-0.148909	0.351917	0.000000	0.008004	-0.224856	-0.059811	0.697173	-0.128994	-0.291517	-0.667555	0.068097	-0.033363	1.038566	0.236546	0.682373	0.446851	0.041379	-0.259096	-0.274092	-0.386259	0.238283	-0.338834	-0.318228	-0.232881	-0.241780	-0.049740	0.049741	0.955714	0.568332	0.551742	-0.372882	-0.457270	-0.426059	-0.647954	-0.171623	0.224282	0.318846	0.279817	-0.040891	-0.142025	-0.168312	-0.275727	-0.094085	-0.101907	0.000000	-0.258217	-0.214943	-0.578290	-0.479919	-0.312910	-0.135587	0.614857	0.207554	0.643526	0.513933	-0.170757	0.127792	0.042965	0.149526	-0.360373	-0.442689	0.300710	0.290185	0.062641	0.155670	0.203332	0.303051	-0.430675	-0.231379	-0.050993	0.037317	0.013676	-0.184137	-0.189136	-0.080268	0.070300	0.171945	0.101177	0.110117	-0.042296	0.012369	-0.375205	0.405131	0.027411	-0.027411	0.094629	0.135165	-0.229794	-0.127270	-0.112751	0.240022	0.145137	-0.145137
Zm00001d002928	-1.513358	-1.910988	0.287546	1.251685	0.880977	1.004137	0.347425	0.238174	0.495981	0.672136	0.968280	-0.751432	-0.811686	-1.158879	-0.455271	-0.258164	0.019056	-1.348771	-1.430408	-1.464451	-1.464620	-1.464521	1.513903	0.105426	0.713883	0.766314	0.165304	-0.847782	-0.841131	0.822751	0.898137	0.283498	-1.265982	-1.231553	-0.990797	-1.464516	0.985891	1.544145	1.495916	0.411536	0.316311	0.660712	0.522601	-0.012899	0.644643	0.747151	0.952314	1.070605	0.679096	0.868949	0.165675	1.093275	-0.714438	0.252094	0.170696	-0.761617	-0.432444	0.518293	-0.835458	-0.668326	0.207878	1.659998	1.433149	0.601470	0.247547	-0.469531	0.033605	-0.326573	-1.149387	-1.253057	-1.099495	-1.051949	-1.339708	-0.874164	0.942444	0.835087	0.755634	0.412049	0.000000	0.590340	0.355910	0.501563	-1.283059	-0.231132	0.066377	0.113053	-0.085438	0.106571	-0.808473	-0.936828	-0.985366	-0.178982	-0.087946	0.869684	0.803546	0.906980	0.082825	-0.931926	-0.175720	0.592516	0.715508	0.656475	-0.656475	-0.125269	1.418669	1.401952	-0.134364	-1.244215	-1.440739	-0.071677	0.195639	1.079704	1.244951	1.277330	1.652616	1.657073	-1.466008	-1.646837	-1.605552	-2.193275	0.000000	0.024797	0.057201	0.243466	0.219192	-0.106760	-0.137168	0.261897	-0.175401	-0.342324	-0.044901	0.537223	-0.025283	-0.511941	0.952772	0.318526	0.171438	-0.792864	-0.642171	-0.007699	-0.021688	-0.252816	-0.169172	0.019318	0.424356	-0.032159	0.044482	-0.012324	-0.385996	-0.331046	-0.258749	0.277596	0.397715	0.132801	0.167679	-0.117049	-0.572337	-0.320426	1.009813	0.039142	-0.039142	-0.062145	-0.021841	0.083986	-0.152812	0.240443	-0.087631	0.066690	-0.066690
Zm00001d003047	0.106493	-0.518003	0.075335	0.065315	0.136708	0.134151	-0.462886	-0.172575	-0.450607	-0.325865	0.965281	0.399061	-0.381803	0.429395	0.327635	0.511132	0.502120	0.826809	0.779610	0.927281	0.886352	0.849207	-0.599219	0.585469	-0.961040	-0.890784	-0.773243	0.917094	0.942789	0.184097	0.042081	0.147833	0.575902	0.546207	0.417584	-0.342391	0.087507	-0.189563	-0.201874	-0.401275	-0.106709	0.063831	0.161855	0.763773	-1.026773	0.114617	0.130092	-0.380882	-1.237946	-0.476103	-1.238806	-0.540784	-0.743920	0.135234	0.189973	-0.434438	-0.230296	-0.360822	-0.978690	-0.716763	-0.378422	-0.616444	-0.737777	0.208381	0.221122	-0.928975	-1.239037	-0.790429	0.940660	0.913775	1.003854	1.005852	0.874878	-0.016856	0.186133	0.339275	0.249761	-0.019510	0.000000	0.301852	0.397445	0.359697	0.018066	-0.532294	-0.544766	0.485454	0.471664	0.341621	-0.894409	-0.145726	-0.943463	0.059033	-0.214998	0.236609	0.264960	0.229688	0.121162	0.565430	0.089532	-0.242497	-0.424064	0.638346	-0.638346	-0.284755	-0.638580	-0.670374	0.160853	0.504968	0.715687	0.413630	-0.201427	0.091000	0.020990	0.080858	-0.289547	0.223021	0.022449	-0.067480	-0.267358	0.186065	0.000000	0.612226	0.510030	-0.527309	-0.549807	0.316275	0.226948	0.352245	-0.130576	-0.323096	-0.486931	-0.603717	-0.138950	0.742668	-0.470064	-0.080091	-0.115722	0.513528	0.365715	-0.213366	0.169594	0.003542	0.084453	0.191286	-0.448874	-0.040588	0.013084	0.027504	0.884300	0.686909	0.915284	-0.575101	-0.744391	-0.528460	-0.638542	0.260229	0.395379	-0.613442	-0.042167	-0.046000	0.045999	0.399621	0.387855	-0.787475	-0.166058	-0.308963	0.475021	-0.104215	0.104215
Zm00001d003196	0.080600	0.080245	-0.667517	0.238891	0.058412	0.209369	-0.060829	0.028650	-0.156421	-0.276899	-0.350919	0.676455	0.769589	-0.629624	0.534244	0.537856	0.325261	0.680715	0.663064	0.895061	0.861891	0.888759	-0.685585	0.464431	-0.896322	-0.844532	-0.415427	0.861579	0.664126	0.342767	0.320428	0.196837	0.526699	0.591788	0.326057	0.230709	-0.295161	-0.254006	-0.300069	-0.246212	-0.360648	-0.321290	-0.106898	-0.093652	-0.234024	0.030917	-0.022758	-0.364831	-0.347367	-0.176864	-0.939269	-0.407239	-0.651570	0.314420	0.473961	0.517493	0.580427	-0.454859	0.600568	0.340253	0.234518	-0.991433	-1.209615	-0.513052	-0.421995	-0.655376	-1.821959	-1.238979	0.561652	0.526855	0.601038	0.494009	0.538679	0.944982	-0.773359	-0.932203	-0.738697	1.043215	0.000000	0.073063	0.229421	-0.009495	0.547585	-0.534263	-0.306309	0.124025	0.280741	0.198512	0.513312	0.396836	0.482283	-0.205759	-0.294973	-0.860692	-0.826206	-0.950549	0.786187	-0.192511	0.178743	0.295043	0.075013	-0.163014	0.163014	0.108406	-0.926521	-1.238248	-0.644237	0.722751	0.913289	0.401314	0.663244	0.366007	0.147249	0.115167	-0.002465	-0.677431	0.065472	-0.207257	0.070801	0.122461	0.000000	0.144329	0.236892	-0.241524	-0.288026	0.158350	-0.601977	0.544401	0.307774	-0.165643	-0.094573	-0.547230	-0.114796	0.662025	-0.225482	0.065603	-0.077243	-0.095985	-0.040686	0.373796	0.121347	0.065663	0.321155	-0.196801	-0.311363	-0.004995	0.107627	-0.102633	-0.063399	-0.041939	0.064204	-0.088335	-0.107449	0.160881	0.076040	-0.095864	0.088280	0.097436	-0.089852	0.023540	-0.023540	0.433610	0.479330	-0.912939	0.278026	0.191954	-0.469979	0.007027	-0.007027
Zm00001d003224	0.656211	0.633886	-0.452300	-0.137273	-0.439077	-0.261444	0.105193	0.032037	-0.235379	-0.166097	0.379746	0.043817	0.212915	-0.372235	-0.283660	-0.388267	-0.503120	0.197408	0.215108	0.293598	0.186009	0.205130	-0.557725	-0.372402	-0.212176	-0.444804	0.321976	0.041763	-0.009450	-0.330166	-0.439032	-0.452018	-0.181768	-0.188548	-0.282915	0.441666	0.083207	-0.320242	-0.525918	0.085485	-0.406473	-0.460091	-0.326916	-0.002334	0.137778	-0.019184	0.232094	0.344805	0.400103	0.554618	0.079221	0.938166	-0.466669	0.411211	0.563744	0.368627	0.383733	-0.479507	0.627965	0.273464	-0.503555	0.096977	0.184266	0.044001	-0.057028	0.635671	0.740172	0.496718	0.098322	-0.026268	-0.065959	-0.174806	-0.181945	0.500300	-0.636837	-0.425903	-0.439623	-0.017999	0.000000	-0.160594	-0.201117	-0.168158	0.548082	0.023482	-0.041695	-0.098956	0.082803	-0.233913	0.645626	0.283927	1.016058	0.112809	-0.142433	-0.257334	-0.143920	-0.076170	0.367022	-0.402745	0.093694	-0.581181	-0.665283	-0.168050	0.168049	0.030829	0.274671	0.320365	0.155191	0.245724	0.214782	-0.671875	-0.569689	-0.475478	-0.157306	-0.205383	-0.433704	0.560801	0.295268	0.056557	0.252617	0.106630	0.000000	-0.416189	-0.388996	0.263855	0.258840	-0.105893	-0.083703	0.817924	0.104442	-0.127524	-0.322758	-0.120892	0.142242	-0.021351	0.001884	0.496349	0.584888	-0.639422	-0.456479	0.012783	0.009414	0.041468	0.159803	-0.212813	0.002129	0.013770	0.037229	-0.050999	-0.105660	-0.266490	-0.236848	0.021504	-0.005596	0.275984	0.317109	-0.365631	-0.154366	0.523703	-0.003706	-0.037648	0.037648	0.233656	0.070684	-0.304341	0.194550	0.024243	-0.218794	0.165520	-0.165520
Zm00001d003276	-0.127485	0.313463	-0.493145	0.319940	-0.044867	0.032095	0.219038	-0.057342	-0.220906	-0.110531	-1.238109	1.360975	0.065881	-0.019008	-0.636427	-0.611058	-0.830301	-0.745318	-0.662471	-0.860614	-0.919243	-0.971437	1.516296	-0.933829	2.501667	2.397781	1.900468	-1.168852	-1.130320	0.070551	-0.017737	-0.109787	-0.175446	-0.373277	-0.136942	0.064652	-0.869615	-0.445282	-0.300819	0.490412	-1.095481	-0.890109	-0.991028	-0.986778	2.287118	-1.219625	0.033701	0.237904	0.708301	0.633065	1.300045	1.543759	-0.706217	2.831165	2.398504	2.163954	2.068344	-0.444574	2.581156	2.526241	-1.039850	-0.997739	-0.863136	-1.220722	-1.220631	-0.329279	0.127316	-0.147667	-0.888261	-1.126422	-1.006813	-1.172228	-1.154634	1.884468	-1.002892	-1.111855	-1.083027	0.330890	0.000000	-1.624912	-1.684416	-1.553428	1.656748	1.636680	1.569326	-0.921827	-0.284802	-0.404840	2.074606	2.410313	2.271525	0.046985	-0.234272	-1.119955	-1.052261	-1.054881	0.972486	-0.938897	-0.800364	-0.645102	-0.318718	-1.492919	1.492919	-0.072252	0.316057	0.518930	-0.199204	-0.231551	-0.293724	-0.358294	0.320041	0.075540	0.430833	0.220235	0.920217	1.659302	-0.864557	-0.808882	-0.846492	-0.786198	0.000000	-1.042510	-0.858493	0.265530	0.551440	-1.144853	-1.133817	2.328290	1.840360	-0.482808	-0.323141	1.013541	0.567620	-1.581160	0.117500	0.061301	0.203331	-0.622615	-0.723355	0.963840	0.163179	-0.006248	0.296548	-0.303420	-0.150058	-0.000231	0.003152	-0.002920	-1.998319	-2.116102	-2.159771	1.507705	1.548729	1.632088	1.585667	-1.180373	-1.051910	1.616376	0.615909	0.028717	-0.028717	1.119668	0.990853	-2.110520	-0.076923	-0.123190	0.200113	-0.085885	0.085885
Zm00001d003282	1.622901	1.772541	-1.914930	-0.735622	0.002217	-0.747104	0.000094	0.000392	-0.000044	-0.000073	0.000799	0.000063	-0.000446	-0.000788	-0.395948	0.022912	-0.030964	0.400628	0.743127	-0.394667	-0.394836	-0.394737	-0.396472	-0.396527	-0.396401	-0.396457	-0.395945	-0.396408	-0.396237	2.535716	2.379146	6.621435	-0.396440	0.234071	-0.276254	4.425107	0.584331	-0.396421	-0.396410	-0.395780	-0.395661	-0.395622	-0.395724	-0.395523	-0.396174	-0.394222	-0.394147	-0.394158	-0.393501	-0.394086	-0.394361	-0.394551	-0.396432	0.145480	-0.396425	-0.395174	-0.395138	-0.394291	-0.395231	-0.395084	1.717142	-0.201148	-0.278668	-0.395319	-0.395228	-0.394945	-0.394592	-0.394812	-0.038943	-0.395445	-0.395441	-0.396413	-0.396439	-0.394907	-0.396200	-0.395965	-0.396257	-0.395979	0.000000	-0.000380	-0.000380	-0.000146	0.001067	-0.000077	-0.000084	2.702623	4.763937	5.518115	-1.548961	-1.549089	-1.548545	-1.547879	5.518115	-1.549733	-1.549696	-1.549360	-1.549895	-1.460101	-1.549077	-1.550227	-1.550227	0.001164	-0.001163	-0.173794	-0.175137	-0.175030	0.253265	0.378803	0.243617	-0.175747	-0.175975	-0.125730	-0.125809	-0.126012	-0.125628	-0.124299	-0.125007	0.435369	-0.124870	0.441984	0.000000	2.121621	2.224970	-2.317286	-2.317190	-2.316665	-2.316600	-2.100659	-2.316389	4.629881	4.708315	-0.000144	0.000369	-0.000226	-0.055888	-0.055893	-0.055494	-0.055920	0.279419	-0.056223	-0.133204	0.036194	0.601889	-0.252843	-0.252036	0.000246	0.000284	-0.000529	-0.040482	0.243154	-0.040174	-0.040683	-0.040619	-0.040658	-0.040537	0.861834	-0.030022	-0.416128	-0.415683	-0.000008	0.000008	0.000514	0.000195	-0.000708	0.720717	0.774127	-1.494843	0.102297	-0.102298
Zm00001d003294	0.053838	0.000993	0.032418	-0.228412	-0.045279	0.186442	-0.508295	-0.621339	-0.518111	-0.525531	0.176060	0.572589	0.228726	1.195903	-0.185612	0.001130	-0.222651	0.377411	0.282084	0.713493	0.634374	0.622785	-0.640148	0.103256	-0.757111	-0.743064	-0.628098	0.178218	0.315417	-0.226771	-0.228296	0.180655	0.374616	0.307262	0.190642	-0.241972	-0.292005	-0.436711	-0.338518	-0.411374	-0.139892	0.104751	0.263998	0.647896	-0.751451	0.291417	0.024354	0.082562	-0.211183	-0.967234	-0.474891	-0.231194	-0.260898	0.413177	0.036295	0.023040	-0.257641	-0.277405	-0.131862	-0.035794	0.226085	-0.467674	-0.395859	-0.219065	0.193678	-0.750459	-0.291516	-0.967960	0.834042	0.901765	0.992159	0.338067	0.401210	0.666275	0.307090	0.410416	0.215920	0.528782	0.000000	0.226656	0.253656	0.431607	0.333760	-0.682289	-0.563390	0.144849	0.096988	-0.138456	-0.275218	0.229808	-0.728879	-0.039217	-0.322790	0.355463	-0.124741	-0.004385	0.471145	0.207834	0.051127	-0.041994	0.118471	0.111332	-0.111332	-0.208332	-0.034762	0.155277	-0.256400	-0.124426	-0.022295	0.382334	0.108606	0.633714	0.464003	0.553026	-0.443752	-0.108560	-0.293802	-0.348334	-0.322628	-0.133669	0.000000	0.277243	0.095208	-0.382615	-0.417735	0.209401	0.199524	0.422339	0.276724	-0.206974	-0.473116	-0.246749	-0.239704	0.486453	-0.373452	-0.382685	-0.184035	0.401429	0.333137	0.205607	-0.130893	-0.219355	-0.110702	0.544390	-0.083442	0.025245	0.063944	-0.089189	0.328824	0.436132	0.274596	-0.283010	-0.271291	-0.192195	-0.293053	0.244871	0.193115	-0.524330	0.086343	-0.108085	0.108085	0.209611	0.251638	-0.461248	0.281538	0.227450	-0.508987	-0.113479	0.113479
Zm00001d003652	0.645679	0.551864	-0.841858	-0.059389	-0.121669	-0.174629	-0.134660	-0.083375	-0.293399	-0.309115	0.559909	-0.075807	-0.074359	0.410805	-0.259014	-0.439008	-0.535419	0.080989	0.067568	-0.005816	-0.106189	-0.117035	-0.234880	-0.044923	-0.441515	-0.309266	-0.304785	-0.295752	-0.285334	-0.203595	-0.342859	-0.328892	-0.377238	-0.387852	-0.208475	0.769623	-0.704892	0.220697	0.253738	-0.210647	-0.360440	-0.254761	-0.310066	-0.288260	0.305332	-0.086762	0.002708	0.137178	0.189535	0.091040	0.573299	0.590646	0.458745	0.350573	0.431711	0.367018	0.553112	0.791643	0.151315	0.208625	0.342314	-0.099807	0.050521	-0.047642	-0.313460	1.305330	1.401116	1.277144	-0.636798	-0.625807	-0.609103	-0.347921	-0.514365	0.903447	-0.554375	-0.501907	-0.570759	0.390668	0.000000	0.039297	-0.022739	0.024606	0.455202	-0.284922	-0.211442	-0.412449	-0.504653	-0.419284	0.396188	0.313379	0.506073	0.868460	0.443308	-0.434959	-0.335677	-0.181049	0.471925	-0.360168	-0.139459	-0.131862	-0.079769	0.307687	-0.307687	0.841938	0.582830	0.472081	-0.190716	-0.339445	-0.384081	-0.838906	-0.143699	0.115787	0.336069	0.278667	0.161678	0.589725	-0.435188	-0.409261	-0.217000	-0.420481	0.000000	-0.238486	-0.360106	-0.205279	-0.108297	-0.238809	-0.405347	0.130908	0.542076	0.468934	0.414410	-0.151341	-0.017592	0.168934	0.442740	0.079269	-0.048989	-0.316522	-0.224145	0.067648	-0.112175	0.012006	0.239595	-0.640658	0.501232	-0.084516	0.077935	0.006581	-0.219096	-0.172540	-0.031950	0.039917	-0.008024	0.181934	0.209762	-0.022983	-0.174706	-0.238012	0.435702	0.058025	-0.058026	-0.052163	0.090855	-0.038693	-0.149576	-0.204035	0.353610	0.021295	-0.021295
